ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
920161.BJ,920161,龙辰科技,20260518,,3400,3060,9.21,14.98,152.99,3.131,0.0
688635.SH,787635,长进光子,20260518,,2342,562,40.98,44.22,0.55,9.596,0.0
603435.SH,732435,嘉德利,20260513,,4600,2576,15.76,29.63,1.1,7.25,0.02
920220.BJ,920220,朗信电气,20260513,,1324,1192,28.29,14.99,59.58,3.746,0.0
001237.SZ,001237,惠康科技,20260513,,3709,2967,53.26,21.04,1.45,19.753,0.02
001365.SZ,001365,天海电子,20260507,20260518,7900,4424,27.19,23.4,1.85,21.48,0.02
001393.SZ,001393,维通利,20260506,20260515,6233,4089,30.38,25.36,2.0,18.937,0.02
920096.BJ,920096,嘉晨智能,20260506,20260518,1800,1620,14.43,14.99,81.0,2.597,0.03
920178.BJ,920178,锐翔智能,20260427,20260515,1375,1237,29.47,14.99,61.85,4.051,0.04
603407.SH,732407,长裕集团,20260427,20260511,4100,2588,13.86,23.0,1.1,5.683,0.02
301531.SZ,301531,春光集团,20260424,20260511,5493,2390,13.3,26.02,1.4,7.306,0.02
920200.BJ,920200,振宏股份,20260422,20260507,2291,2062,20.58,14.99,103.09,4.715,0.04
920186.BJ,920186,中科仪,20260420,20260429,5200,2340,16.21,35.23,93.6,8.429,0.04
301599.SZ,301599,理奇智能,20260420,20260430,6474,2266,13.91,22.7,1.1,9.005,0.02
920156.BJ,920156,海昌智能,20260415,20260427,2412,2171,20.93,14.98,108.54,5.048,0.04
688808.SH,787808,联讯仪器,20260414,20260424,2567,821,81.88,63.64,0.6,21.016,0.02
920125.BJ,920125,鸿仕达,20260413,20260424,1350,1215,16.57,14.99,60.75,2.237,0.02
001312.SZ,001312,福恩股份,20260410,20260421,5833,4667,18.38,16.83,2.3,10.722,0.02
920191.BJ,920191,瑞尔竞达,20260409,20260420,4435,3992,7.71,14.99,199.57,3.419,0.03
688820.SH,787820,盛合晶微,20260409,20260421,25547,5437,19.68,195.62,3.55,50.276,0.04
301513.SZ,301513,尚水智能,20260408,20260417,2500,1025,26.66,18.02,0.6,6.665,0.01
920177.BJ,920177,恒道科技,20260407,20260416,1308,1177,21.8,14.99,58.86,2.851,0.03
603293.SH,732293,埃泰克,20260407,20260416,4477,2865,33.49,29.71,1.4,14.994,0.02
301666.SZ,301666,大普微,20260403,20260416,4362,1396,46.08,0.0,0.65,20.101,0.02
920012.BJ,920012,创达新材,20260401,20260413,1233,1110,19.58,14.99,55.48,2.414,0.03
920181.BJ,920181,赛英电子,20260330,20260410,1080,972,28.0,13.79,48.6,3.024,0.04
