ts_code,name,start_date,end_date,ann_date,change_reason
688287.SH,退市观典,20260519,,20260512,终止上市
688287.SH,退市观典,20260519,,20260512,终止上市
000430.SZ,张家界,20260518,,20260515,撤销ST
920096.BJ,嘉晨智能,20260518,,,其他
301617.SZ,博苑新材,20260518,,20260515,改名
001365.SZ,天海电子,20260518,,,其他
688635.SH,长进光子,20260515,,,其他
001393.SZ,维通利,20260515,,,其他
603007.SH,顺景科技,20260515,,20260512,改名
920178.BJ,锐翔智能,20260515,,,其他
300497.SZ,富祥股份,20260515,,20260514,其他
300899.SZ,上海凯鑫,20260514,,20260513,撤销*ST
301288.SZ,清研环境,20260513,,20260512,撤销*ST
002868.SZ,绿康生化,20260513,,20260512,其他
300268.SZ,佳沃食品,20260513,,20260512,其他
601568.SH,北元化工,20260513,,20260508,其他
688496.SH,*ST清越,20260512,,20260509,*ST
301139.SZ,*ST元道,20260512,,20260509,*ST
600729.SH,重百集团,20260512,,20260507,改名
688496.SH,*ST清越,20260512,,20260509,*ST
603435.SH,嘉德利,20260512,,,其他
688496.SH,*ST清越,20260512,,20260509,*ST
001237.SZ,惠康科技,20260512,,,其他
603407.SH,长裕集团,20260511,,,其他
301531.SZ,春光集团,20260511,,,其他
002168.SZ,ST惠程,20260511,,20260508,摘星
688635.SH,长进光子,20260508,,,其他
920200.BJ,振宏股份,20260507,,,其他
001365.SZ,天海电子,20260506,,,其他
603189.SH,*ST网达,20260506,,20260430,*ST
002667.SZ,*ST威领,20260506,,20260430,*ST
688033.SH,*ST天宜,20260506,,20260430,*ST
600965.SH,*ST福成,20260506,,20260430,*ST
688066.SH,*ST航图,20260506,,20260430,*ST
600340.SH,*ST华幸,20260506,,20260430,*ST
002883.SZ,*ST中设,20260506,,20260430,*ST
603557.SH,*ST起步,20260506,,20260430,*ST
002082.SZ,ST万邦,20260506,,20260430,ST
002198.SZ,ST嘉应,20260506,,20260430,ST
300716.SZ,*ST泉为,20260506,,20260430,*ST
000677.SZ,ST海龙,20260506,,20260430,ST
301030.SZ,*ST仕净,20260506,,20260430,*ST
688022.SH,ST瀚川,20260506,,20260430,ST
603378.SH,*ST亚士,20260506,,20260430,*ST
603718.SH,*ST海利,20260506,,20260430,*ST
300076.SZ,*ST宁视,20260506,,20260430,*ST
688066.SH,*ST航图,20260506,,20260430,*ST
002514.SZ,*ST宝馨,20260506,,20260430,*ST
603021.SH,*ST华鹏,20260506,,20260430,*ST
000697.SZ,炼石航空,20260506,,20260430,撤销ST
300010.SZ,ST豆神,20260506,,20260430,ST
300396.SZ,ST迪瑞,20260506,,20260430,ST
600491.SH,ST龙元,20260506,,20260430,ST
600187.SH,*ST国中,20260506,,20260430,*ST
600745.SH,*ST闻泰,20260506,,20260430,*ST
002742.SZ,三圣股份,20260506,,20260430,其他
002193.SZ,ST如意,20260506,,20260430,ST
600337.SH,ST美克,20260506,,20260430,ST
920575.BJ,*ST康乐,20260506,,20260430,*ST
688066.SH,*ST航图,20260506,,20260430,*ST
600107.SH,*ST尔雅,20260506,,20260430,*ST
600302.SH,ST标准,20260506,,20260430,ST
000078.SZ,ST海王,20260506,,20260430,ST
300352.SZ,ST信源,20260506,,20260430,ST
300430.SZ,*ST益通,20260506,,20260430,*ST
002109.SZ,ST兴化,20260506,,20260430,ST
601718.SH,ST际华,20260506,,20260430,ST
603729.SH,ST龙韵,20260430,,20260429,ST
000010.SZ,*ST美丽,20260430,,20260429,*ST
002726.SZ,ST龙大,20260430,,20260429,ST
920023.BJ,*ST田野,20260430,,20260429,*ST
000632.SZ,ST三木,20260430,,20260429,ST
002856.SZ,*ST美芝,20260430,,20260429,*ST
600734.SH,*ST实达,20260430,,20260429,*ST
002547.SZ,*ST春兴,20260430,,20260429,*ST
600370.SH,*ST三房,20260430,,20260429,*ST
002501.SZ,*ST利源,20260430,,20260429,*ST
300152.SZ,*ST动力,20260430,,20260429,*ST
002630.SZ,*ST华西,20260430,,20260429,*ST
002717.SZ,*ST岭南,20260430,,20260429,*ST
603435.SH,嘉德利,20260430,,,其他
002691.SZ,*ST冀凯,20260430,,20260429,*ST
601010.SH,ST文峰,20260430,,20260429,ST
688496.SH,ST清越,20260430,20260511,20260429,ST
300068.SZ,ST南都,20260430,,20260429,ST
300594.SZ,ST朗进,20260430,,20260429,ST
600678.SH,ST金顶,20260430,,20260429,ST
600239.SH,ST云城,20260430,,20260429,ST
603359.SH,*ST东珠,20260430,,20260429,*ST
688496.SH,ST清越,20260430,,20260429,ST
001237.SZ,惠康科技,20260430,,,其他
600053.SH,*ST九鼎,20260430,,20260429,*ST
000826.SZ,*ST启环,20260430,,20260429,*ST
000639.SZ,ST西王,20260430,,20260429,ST
002694.SZ,*ST顾地,20260430,,20260429,*ST
002175.SZ,*ST东智,20260430,,20260429,*ST
001393.SZ,维通利,20260430,,,其他
688622.SH,*ST禾信,20260430,,20260429,*ST
002102.SZ,ST能特,20260430,,20260429,ST
300212.SZ,*ST易录,20260430,,20260429,*ST
688622.SH,*ST禾信,20260430,,20260429,*ST
300147.SZ,*ST香雪,20260430,,20260429,*ST
002620.SZ,*ST瑞和,20260430,,20260429,*ST
000016.SZ,*ST康佳A,20260430,,20260429,*ST
603922.SH,ST金鸿顺,20260430,,20260429,ST
000911.SZ,*ST广糖,20260430,,20260429,*ST
301599.SZ,理奇智能,20260430,,,其他
002581.SZ,*ST未名,20260430,,20260429,*ST
600080.SH,ST金花,20260430,,20260429,ST
600130.SH,波导股份,20260430,,20260429,撤销*ST
002528.SZ,*ST英飞,20260430,,20260429,*ST
002323.SZ,*ST雅博,20260430,,20260429,*ST
600180.SH,*ST瑞茂,20260430,,20260429,*ST
300027.SZ,ST华谊,20260430,,20260429,ST
600537.SH,*ST亿晶,20260429,,20260428,*ST
600759.SH,ST洲际,20260429,,20260428,ST
002360.SZ,ST同德,20260429,,20260428,ST
600084.SH,*ST尼雅,20260429,,20260428,*ST
300338.SZ,*ST开元,20260429,,20260428,*ST
600476.SH,*ST湘邮,20260429,,20260428,*ST
002207.SZ,*ST准油,20260429,,20260428,*ST
603828.SH,*ST利达,20260429,,20260428,*ST
002719.SZ,ST麦趣,20260429,,20260428,ST
600818.SH,ST中路,20260429,,20260428,ST
300245.SZ,ST天玑,20260429,,20260428,ST
300198.SZ,*ST纳川,20260429,,20260428,*ST
688201.SH,ST信安,20260429,,20260428,ST
603272.SH,*ST联翔,20260429,,20260428,*ST
920186.BJ,中科仪,20260429,,,其他
688280.SH,精进电动-W,20260428,,20260425,其他
600730.SH,*ST高科,20260428,,20260425,*ST
603008.SH,ST喜临门,20260428,,20260425,ST
600423.SH,*ST柳化,20260428,,20260425,*ST
002634.SZ,*ST棒杰,20260428,,20260425,*ST
688712.SH,北芯生命,20260428,,20260425,其他
603959.SH,ST百利,20260428,,20260425,ST
002431.SZ,ST棕榈,20260428,,20260425,ST
000752.SZ,*ST西发,20260428,,20260427,*ST
600119.SH,*ST长投,20260428,,20260427,*ST
600265.SH,*ST景谷,20260427,,20260424,*ST
920156.BJ,海昌智能,20260427,,,其他
000056.SZ,*ST皇庭,20260427,,20260424,*ST
000838.SZ,*ST发展,20260427,,20260424,*ST
000610.SZ,*ST西旅,20260427,,20260424,*ST
600543.SH,*ST莫高,20260427,,20260424,*ST
600889.SH,*ST京化,20260424,,20260423,*ST
920125.BJ,鸿仕达,20260424,,,其他
920090.BJ,*ST同辉,20260424,,20260423,*ST
688808.SH,联讯仪器,20260424,,,其他
002977.SZ,*ST天箭,20260424,,20260423,*ST
603407.SH,长裕集团,20260424,,,其他
001365.SZ,天海电子,20260424,,,其他
300295.SZ,*ST三六五,20260424,,20260423,*ST
000609.SZ,*ST中迪,20260423,,20260422,*ST
001393.SZ,维通利,20260423,,,其他
605336.SH,*ST帅电,20260423,,20260422,*ST
301531.SZ,春光集团,20260423,,,其他
002227.SZ,*ST特迅,20260422,,20260421,*ST
300044.SZ,*ST赛为,20260422,,20260421,*ST
002960.SZ,青鸟智控,20260422,,20260422,改名
002932.SZ,*ST明德,20260422,,20260421,*ST
002542.SZ,*ST中岩,20260421,,20260418,*ST
001312.SZ,福恩股份,20260421,,,其他
300123.SZ,ST亚光,20260421,,20260418,ST
688820.SH,盛合晶微,20260421,,,其他
603007.SH,花王股份,20260421,,20260418,其他
688270.SH,ST臻镭,20260421,,20260418,ST
300668.SZ,杰恩股份,20260421,,20260421,其他
603007.SH,花王股份,20260421,20260514,20260418,其他
688511.SH,天微电子,20260421,,20260418,撤销*ST
688270.SH,ST臻镭,20260421,,20260418,ST
688511.SH,天微电子,20260421,,20260418,撤销*ST
688270.SH,ST臻镭,20260421,,20260418,ST
688322.SH,奥比中光-W,20260421,,20260420,其他
603268.SH,松发股份,20260420,,20260417,撤销*ST
002739.SZ,儒意电影,20260420,,20260420,改名
002180.SZ,奔图科技,20260420,,20260418,改名
600358.SH,国旅联合,20260420,,20260417,撤销ST
920191.BJ,瑞尔竞达,20260420,,,其他
603407.SH,长裕集团,20260417,,,其他
301513.SZ,尚水智能,20260417,,,其他
300052.SZ,中青宝,20260416,,20260415,撤销ST
688235.SH,百济神州,20260416,,20260415,其他
603293.SH,埃泰克,20260416,,,其他
603293.SH,埃泰克,20260416,,,其他
920177.BJ,恒道科技,20260416,,,其他
301666.SZ,大普微-UW,20260416,,,其他
301666.SZ,大普微,20260416,,,其他
301531.SZ,春光集团,20260416,,,其他
300385.SZ,ST雪浪,20260414,,20260411,ST
002647.SZ,仁东控股,20260414,,20260411,撤销*ST
600082.SH,ST海泰,20260414,,20260411,ST
601567.SH,三星电气,20260414,,20260409,其他
688808.SH,联讯仪器,20260413,,,其他
920012.BJ,创达新材,20260413,,,其他
301599.SZ,理奇智能,20260410,,,其他
301265.SZ,华新科技,20260410,,20260409,改名
301696.SZ,三瑞智能,20260410,,,其他
688811.SH,有研复材,20260410,,,其他
688811.SH,有研复材,20260410,,,其他
920181.BJ,赛英电子,20260410,,,其他
001312.SZ,福恩股份,20260409,,,其他
300081.SZ,ST恒信,20260408,,20260403,ST
603459.SH,红板科技,20260408,,,其他
688820.SH,盛合晶微,20260408,,,其他
002598.SZ,ST章鼓,20260408,,20260404,ST
920011.BJ,晨光电机,20260408,,,其他
301513.SZ,尚水智能,20260407,,,其他
603293.SH,埃泰克,20260403,,,其他
688808.SH,联讯仪器,20260403,,,其他
301666.SZ,大普微,20260402,,,其他
000909.SZ,*ST数源,20260401,,20260331,*ST
301683.SZ,慧谷新材,20260401,,,其他
001312.SZ,福恩股份,20260331,,,其他
300097.SZ,智云股份,20260331,,20260330,撤销ST
600581.SH,*ST八钢,20260331,,20260330,*ST
920055.BJ,隆源股份,20260331,,,其他
688813.SH,泰金新能,20260331,,,其他
688820.SH,盛合晶微,20260331,,,其他
001257.SZ,盛龙股份,20260331,,,其他
300344.SZ,立方退,20260331,,20260323,终止上市
002538.SZ,ST司特,20260331,,20260327,ST
